!Agilent Technologies,E4990A,MY54101349,A.02.20
!Date: Wed Sep 28 20:28:10 2022

BEGIN CH1_DATA
Frequency(Hz), |Z|(Ohm)-data, theta-z(deg)-data, Ls(H)-data, Rs(Ohm)-data
+3.35350000000e+001, +2.89174732431e-001, +2.24687523812e+000, +5.38055618046e-005, +2.88952407922e-001
+3.37440000000e+001, +2.87354116490e-001, +2.51868616690e+000, +5.95597044656e-005, +2.87076515930e-001
+3.39550000000e+001, +2.87025548903e-001, +1.69954356589e+000, +3.99009221880e-005, +2.86899285335e-001
+3.41670000000e+001, +2.86544221197e-001, +2.37839451948e+000, +5.53912886143e-005, +2.86297377625e-001
+3.43800000000e+001, +2.89201387707e-001, +1.61526385011e+000, +3.77379186630e-005, +2.89086470968e-001
+3.45950000000e+001, +2.87945401333e-001, +2.87091076313e+000, +6.63486757608e-005, +2.87584005279e-001
+3.48110000000e+001, +2.83950608137e-001, +1.70072653370e+000, +3.85296010954e-005, +2.83825523311e-001
+3.50290000000e+001, +2.89520608334e-001, +2.15241099358e+000, +4.94051576342e-005, +2.89316338822e-001
+3.52480000000e+001, +2.91783245539e-001, +2.77065815765e+000, +6.36849838822e-005, +2.91442157610e-001
+3.54680000000e+001, +2.88518061673e-001, +2.38246231215e+000, +5.38188836147e-005, +2.88268666957e-001
+3.56890000000e+001, +2.89668931847e-001, +2.15290164517e+000, +4.85274003142e-005, +2.89464464511e-001
+3.59120000000e+001, +2.86987373116e-001, +2.37723775697e+000, +5.27556166571e-005, +2.86740388181e-001
+3.61360000000e+001, +2.88236907145e-001, +2.60019559096e+000, +5.75922366027e-005, +2.87940142728e-001
+3.63620000000e+001, +2.86841007501e-001, +2.18199383380e+000, +4.78012785279e-005, +2.86633028002e-001
+3.65890000000e+001, +2.89579265763e-001, +2.53316414966e+000, +5.56719276746e-005, +2.89296290727e-001
+3.68180000000e+001, +2.89650326395e-001, +2.39007448395e+000, +5.22151827793e-005, +2.89398350699e-001
+3.70480000000e+001, +2.87061306875e-001, +3.41571611221e+000, +7.34736946746e-005, +2.86551348996e-001
+3.72790000000e+001, +2.90970204926e-001, +3.17638743979e+000, +6.88323743998e-005, +2.90523182855e-001
+3.75120000000e+001, +2.87067375429e-001, +2.51003814446e+000, +5.33399391530e-005, +2.86791952709e-001
+3.77460000000e+001, +2.87708145022e-001, +2.95365387700e+000, +6.25094889485e-005, +2.87325936894e-001
+3.79820000000e+001, +2.89068876352e-001, +2.62347602792e+000, +5.54429511389e-005, +2.88765903025e-001
+3.82200000000e+001, +2.93209003426e-001, +2.61863734842e+000, +5.57838224838e-005, +2.92902823187e-001
+3.84580000000e+001, +2.90437402253e-001, +2.74081992573e+000, +5.74748973601e-005, +2.90105159535e-001
+3.86990000000e+001, +2.87871288377e-001, +2.90340485319e+000, +5.99677595030e-005, +2.87501762078e-001
+3.89400000000e+001, +2.88475513160e-001, +2.76235723963e+000, +5.68227292136e-005, +2.88140309113e-001
+3.91830000000e+001, +2.88602232626e-001, +2.43909495990e+000, +4.98881074794e-005, +2.88340766004e-001
