!Agilent Technologies,E4990A,MY54101349,A.02.20
!Date: Tue Sep 20 23:58:16 2022

BEGIN CH1_DATA
Frequency(Hz), |Z|(Ohm)-data, theta-z(deg)-data, Ls(H)-data, Rs(Ohm)-data
+3.19050000000e+001, +1.53313973320e+001, +4.78089673440e+001, +5.66641544953e-002, +1.02966375553e+001
+3.21040000000e+001, +1.53489720455e+001, +4.79846937273e+001, +5.65339389608e-002, +1.02735137955e+001
+3.23050000000e+001, +1.54163995846e+001, +4.80886519402e+001, +5.65211392511e-002, +1.02978460005e+001
+3.25070000000e+001, +1.54540127751e+001, +4.80674743484e+001, +5.62882736582e-002, +1.03272209733e+001
+3.27100000000e+001, +1.55024513076e+001, +4.82718470323e+001, +5.62937183828e-002, +1.03183873146e+001
+3.29140000000e+001, +1.55245664209e+001, +4.82268281568e+001, +5.59853434028e-002, +1.03422074445e+001
+3.31200000000e+001, +1.56089586913e+001, +4.84176530593e+001, +5.61056825320e-002, +1.03596000379e+001
+3.33260000000e+001, +1.56382455589e+001, +4.84445488699e+001, +5.58867543801e-002, +1.03735454435e+001
+3.35350000000e+001, +1.56881436909e+001, +4.82952077716e+001, +5.55867404648e-002, +1.04372090628e+001
+3.37440000000e+001, +1.57490332696e+001, +4.84017038618e+001, +5.55486217292e-002, +1.04558457797e+001
+3.39550000000e+001, +1.57609833992e+001, +4.86655321436e+001, +5.54705791831e-002, +1.04093965260e+001
+3.41670000000e+001, +1.58488600810e+001, +4.86012254521e+001, +5.53789961168e-002, +1.04807849497e+001
+3.43800000000e+001, +1.59265933188e+001, +4.87158764599e+001, +5.54032827662e-002, +1.05082622705e+001
+3.45950000000e+001, +1.59513989496e+001, +4.86813470259e+001, +5.51155285749e-002, +1.05318507228e+001
+3.48110000000e+001, +1.59795532270e+001, +4.87605493677e+001, +5.49368424189e-002, +1.05338393249e+001
+3.50290000000e+001, +1.60550789294e+001, +4.89193619784e+001, +5.49860615795e-002, +1.05501223988e+001
+3.52480000000e+001, +1.60934215536e+001, +4.90638634708e+001, +5.48951821287e-002, +1.05446898486e+001
+3.54680000000e+001, +1.61525087054e+001, +4.91392994425e+001, +5.48174568399e-002, +1.05673300444e+001
+3.56890000000e+001, +1.62115893915e+001, +4.91611013481e+001, +5.46952625119e-002, +1.06013157311e+001
+3.59120000000e+001, +1.62393586298e+001, +4.92998307536e+001, +5.45625268958e-002, +1.05896962091e+001
+3.61360000000e+001, +1.62784341610e+001, +4.94037398952e+001, +5.44394796263e-002, +1.05927784631e+001
+3.63620000000e+001, +1.63745933748e+001, +4.91277068608e+001, +5.41953886735e-002, +1.07151282177e+001
+3.65890000000e+001, +1.63925544124e+001, +4.96216066455e+001, +5.43184427336e-002, +1.06196323501e+001
+3.68180000000e+001, +1.64345052654e+001, +4.95543973519e+001, +5.40647138586e-002, +1.06614878472e+001
+3.70480000000e+001, +1.64983028007e+001, +4.98010676233e+001, +5.41350906362e-002, +1.06487215677e+001
+3.72790000000e+001, +1.65902397380e+001, +4.97632782735e+001, +5.40692769557e-002, +1.07164169730e+001
+3.75120000000e+001, +1.66147758285e+001, +4.96497479938e+001, +5.37225715881e-002, +1.07573768190e+001
+3.77460000000e+001, +1.66740957941e+001, +4.99130729320e+001, +5.37887836127e-002, +1.07372687159e+001
+3.79820000000e+001, +1.67202310149e+001, +5.00997548669e+001, +5.37491857053e-002, +1.07252409037e+001
+3.82200000000e+001, +1.67729509109e+001, +5.02900049461e+001, +5.37313740019e-002, +1.07162723346e+001
+3.84580000000e+001, +1.68318853332e+001, +5.02724979940e+001, +5.35728780874e-002, +1.07578816410e+001
+3.86990000000e+001, +1.68515367943e+001, +5.04566296401e+001, +5.34434830605e-002, +1.07287352001e+001
+3.89400000000e+001, +1.69016123058e+001, +5.05905139843e+001, +5.33731739916e-002, +1.07301312216e+001
+3.91830000000e+001, +1.69809676380e+001, +5.03997535670e+001, +5.31451263375e-002, +1.08241324169e+001
+3.94280000000e+001, +1.70253964890e+001, +5.04817378756e+001, +5.30157034648e-002, +1.08336706276e+001
+3.96750000000e+001, +1.70792290918e+001, +5.06943736589e+001, +5.30136666666e-002, +1.08189548193e+001
+3.99220000000e+001, +1.71457900712e+001, +5.08174241810e+001, +5.29838631126e-002, +1.08326005298e+001
+4.01720000000e+001, +1.72186685805e+001, +5.07516067127e+001, +5.28283946640e-002, +1.08939694393e+001
+4.04230000000e+001, +1.72787463522e+001, +5.08360540460e+001, +5.27469261448e-002, +1.09122459871e+001
+4.06750000000e+001, +1.72905748240e+001, +5.09995294641e+001, +5.25777149936e-002, +1.08814216618e+001
+4.09290000000e+001, +1.73621198527e+001, +5.10023037970e+001, +5.24696880772e-002, +1.09257935124e+001
+4.11850000000e+001, +1.74232281838e+001, +5.10883007142e+001, +5.23906059770e-002, +1.09439121466e+001
+4.14420000000e+001, +1.74692198116e+001, +5.11842776402e+001, +5.22736617178e-002, +1.09500151964e+001
+4.17010000000e+001, +1.75226377136e+001, +5.13693541675e+001, +5.22429828746e-002, +1.09393392655e+001
+4.19620000000e+001, +1.75571240354e+001, +5.14063702001e+001, +5.20470632914e-002, +1.09520058528e+001
+4.22240000000e+001, +1.76505313577e+001, +5.15629157648e+001, +5.21124898658e-002, +1.09725391201e+001
+4.24870000000e+001, +1.77031241164e+001, +5.15154921529e+001, +5.19100838198e-002, +1.10167073389e+001
+4.27530000000e+001, +1.77730305954e+001, +5.16333182437e+001, +5.18753803410e-002, +1.10315769697e+001
+4.30200000000e+001, +1.78206809611e+001, +5.17835430376e+001, +5.17987520553e-002, +1.10244807511e+001
+4.32890000000e+001, +1.78503475181e+001, +5.19401587406e+001, +5.16733518804e-002, +1.10044564793e+001
+4.35590000000e+001, +1.79197846734e+001, +5.17471610037e+001, +5.14165595132e-002, +1.10947275511e+001
+4.38310000000e+001, +1.79875676271e+001, +5.17129625351e+001, +5.12666204008e-002, +1.11451233251e+001
+4.41050000000e+001, +1.80593229243e+001, +5.13326311849e+001, +5.08822130852e-002, +1.12834303429e+001
+4.43800000000e+001, +1.81950847813e+001, +5.03769654562e+001, +5.02600046902e-002, +1.16036188597e+001
+4.46580000000e+001, +1.82450915303e+001, +4.97782414865e+001, +4.96483565441e-002, +1.17817258664e+001
+4.49360000000e+001, +1.82166701119e+001, +5.22596512773e+001, +5.10219860526e-002, +1.11501338099e+001
+4.52170000000e+001, +1.82664332086e+001, +5.24162614609e+001, +5.09508007435e-002, +1.11410679627e+001
+4.55000000000e+001, +1.83509704464e+001, +5.24065569686e+001, +5.08616002403e-002, +1.11950919118e+001
+4.57840000000e+001, +1.83917703537e+001, +5.25149712094e+001, +5.07321936404e-002, +1.11923873923e+001
+4.60700000000e+001, +1.84701992941e+001, +5.25692366310e+001, +5.06690018176e-002, +1.12262294444e+001
+4.63580000000e+001, +1.85172698057e+001, +5.25941091184e+001, +5.04993142413e-002, +1.12484546910e+001
+4.66470000000e+001, +1.86027043009e+001, +5.26574573350e+001, +5.04605939563e-002, +1.12840075369e+001
+4.69390000000e+001, +1.86369591398e+001, +5.27386263858e+001, +5.02932779548e-002, +1.12837839633e+001
+4.72320000000e+001, +1.86993892052e+001, +5.29021099420e+001, +5.02573640235e-002, +1.12790717001e+001
+4.75270000000e+001, +1.87561480906e+001, +5.29657254153e+001, +5.01390506674e-002, +1.12966903751e+001
+4.78240000000e+001, +1.88258732094e+001, +5.30415048431e+001, +5.00627693831e-002, +1.13187990454e+001
+4.81220000000e+001, +1.88415551708e+001, +5.32771277910e+001, +4.99478489913e-002, +1.12662168053e+001
+4.84230000000e+001, +1.89331614733e+001, +5.33091718773e+001, +4.98995063065e-002, +1.13125032334e+001
+4.87250000000e+001, +1.89820085730e+001, +5.33654864608e+001, +4.97545562027e-002, +1.13267232783e+001
+4.90300000000e+001, +1.90569503813e+001, +5.33724272170e+001, +4.96447313910e-002, +1.13695890912e+001
+4.93360000000e+001, +1.91281494349e+001, +5.35074027198e+001, +4.96077340039e-002, +1.13758724119e+001
+4.96440000000e+001, +1.91947530508e+001, +5.34967486809e+001, +4.94648138839e-002, +1.14183520671e+001
+4.99540000000e+001, +1.92259835557e+001, +5.37315620734e+001, +4.93867514802e-002, +1.13734984356e+001
+5.02660000000e+001, +1.93254610551e+001, +5.37844460124e+001, +4.93675451606e-002, +1.14179599234e+001
+5.05800000000e+001, +1.93602157033e+001, +5.39501387847e+001, +4.92531828749e-002, +1.13932753440e+001
+5.08960000000e+001, +1.94894151806e+001, +5.38914388999e+001, +4.92372607139e-002, +1.14854452476e+001
+5.12140000000e+001, +1.95331090540e+001, +5.39538302667e+001, +4.90801608232e-002, +1.14940036724e+001
+5.15340000000e+001, +1.95993496107e+001, +5.40172495589e+001, +4.89801992959e-002, +1.15154344387e+001
+5.18560000000e+001, +1.96652939834e+001, +5.41794327998e+001, +4.89400164108e-002, +1.15090893339e+001
+5.21800000000e+001, +1.97172029576e+001, +5.43625736376e+001, +4.88767692331e-002, +1.14883066618e+001
+5.25060000000e+001, +1.97970023444e+001, +5.43124797169e+001, +4.87393003202e-002, +1.15488647287e+001
+5.28340000000e+001, +1.98746928680e+001, +5.43850973120e+001, +4.86710302640e-002, +1.15737181168e+001
+5.31640000000e+001, +1.99349447876e+001, +5.45099093257e+001, +4.85911434785e-002, +1.15734743154e+001
+5.34960000000e+001, +1.99847500853e+001, +5.45483749147e+001, +4.84333924784e-002, +1.15914626115e+001
+5.38300000000e+001, +2.00724157224e+001, +5.47142086889e+001, +4.84434441194e-002, +1.15949355988e+001
+5.41660000000e+001, +2.01476680404e+001, +5.46695214593e+001, +4.82967456867e-002, +1.16512289547e+001
+5.45050000000e+001, +2.01940737820e+001, +5.48127517570e+001, +4.81920019358e-002, +1.16368438620e+001
+5.48450000000e+001, +2.02769680186e+001, +5.49831150645e+001, +4.81904500115e-002, +1.16352854565e+001
+5.51880000000e+001, +2.03301507420e+001, +5.50802208609e+001, +4.80734987628e-002, +1.16375671451e+001
+5.55330000000e+001, +2.04149526722e+001, +5.50972663165e+001, +4.79840830662e-002, +1.16811297703e+001
+5.58790000000e+001, +2.04937051513e+001, +5.52129441993e+001, +4.79382575368e-002, +1.16922334323e+001
+5.62290000000e+001, +2.05391688301e+001, +5.53816163218e+001, +4.78429847346e-002, +1.16684625073e+001
+5.65800000000e+001, +2.06456839426e+001, +5.54178427165e+001, +4.78136086011e-002, +1.17182296823e+001
+5.69330000000e+001, +2.07160265151e+001, +5.54030010390e+001, +4.76705324758e-002, +1.17625729069e+001
+5.72890000000e+001, +2.07889541745e+001, +5.55193987885e+001, +4.76075978242e-002, +1.17691919565e+001
+5.76470000000e+001, +2.08372900342e+001, +5.56170105166e+001, +4.74773648690e-002, +1.17672763314e+001
+5.80070000000e+001, +2.09368587214e+001, +5.57604627180e+001, +4.74892434573e-002, +1.17802067980e+001
+5.83690000000e+001, +2.09819898366e+001, +5.58868281826e+001, +4.73673315045e-002, +1.17673155927e+001
+5.87340000000e+001, +2.10519872690e+001, +5.59765795913e+001, +4.72800656588e-002, +1.17792550004e+001
+5.91010000000e+001, +2.11433749779e+001, +5.59791096856e+001, +4.71918475635e-002, +1.18296154872e+001
+5.94700000000e+001, +2.12106765029e+001, +5.60296215560e+001, +4.70762963675e-002, +1.18517671452e+001
+5.98410000000e+001, +2.12983812518e+001, +5.61833624899e+001, +4.70626462673e-002, +1.18533349226e+001
+6.02150000000e+001, +2.13501615975e+001, +5.62649142610e+001, +4.69286978933e-002, +1.18568929510e+001
+6.05910000000e+001, +2.14324983970e+001, +5.62825013139e+001, +4.68269316715e-002, +1.18971474631e+001
+6.09700000000e+001, +2.15203888753e+001, +5.62602639880e+001, +4.67145755432e-002, +1.19528818129e+001
+6.13510000000e+001, +2.15690598177e+001, +5.64264072139e+001, +4.66193870966e-002, +1.19278540699e+001
+6.17340000000e+001, +2.16409829283e+001, +5.65185301210e+001, +4.65341965047e-002, +1.19386219307e+001
+6.21190000000e+001, +2.17294767653e+001, +5.66403939887e+001, +4.65001141617e-002, +1.19488660637e+001
+6.25070000000e+001, +2.18112170774e+001, +5.67127132099e+001, +4.64238177211e-002, +1.19708105676e+001
+6.28980000000e+001, +2.18837763626e+001, +5.68666230008e+001, +4.63701769141e-002, +1.19614505156e+001
+6.32910000000e+001, +2.19737369922e+001, +5.69370294711e+001, +4.63087605872e-002, +1.19880016431e+001
+6.36860000000e+001, +2.19979897439e+001, +5.69846949683e+001, +4.60972690078e-002, +1.19858916525e+001
+6.40840000000e+001, +2.20974021324e+001, +5.70979358793e+001, +4.60770134519e-002, +1.20034126407e+001
+6.44840000000e+001, +2.21780832212e+001, +5.71689348850e+001, +4.59951947553e-002, +1.20241555663e+001
+6.48870000000e+001, +2.22847839744e+001, +5.71764639751e+001, +4.59333344080e-002, +1.20795441131e+001
+6.52920000000e+001, +2.23523008637e+001, +5.72308404663e+001, +4.58147254703e-002, +1.20983098482e+001
