!Agilent Technologies,E4990A,MY54101349,A.02.20
!Date: Wed Sep 21 01:14:12 2022

BEGIN CH1_DATA
Frequency(Hz), |Z|(Ohm)-data, theta-z(deg)-data, Ls(H)-data, Rs(Ohm)-data
+5.62290000000e+001, +2.29901793013e+001, +7.41180494313e+001, +6.25891926381e-002, +6.29140591945e+000
+5.65800000000e+001, +2.31227034101e+001, +7.41498856242e+001, +6.25693440436e-002, +6.31531338660e+000
+5.69330000000e+001, +2.32363334856e+001, +7.41913089143e+001, +6.24997802998e-002, +6.33018605407e+000
+5.72890000000e+001, +2.33532184428e+001, +7.43026109398e+001, +6.24580531036e-002, +6.31836682789e+000
+5.76470000000e+001, +2.34608038873e+001, +7.44013563795e+001, +6.23862348164e-002, +6.30854023601e+000
+5.80070000000e+001, +2.35549782795e+001, +7.44723823596e+001, +6.22694230643e-002, +6.30573441592e+000
+5.83690000000e+001, +2.36752313686e+001, +7.45431087580e+001, +6.22204450027e-002, +6.30976344412e+000
+5.87340000000e+001, +2.37801788149e+001, +7.46592944028e+001, +6.21425726369e-002, +6.29124249065e+000
+5.91010000000e+001, +2.39181116851e+001, +7.47113332634e+001, +6.21303455621e-002, +6.30678156904e+000
+5.94700000000e+001, +2.40284097608e+001, +7.48006448654e+001, +6.20559297998e-002, +6.29972803941e+000
+5.98410000000e+001, +2.41325875424e+001, +7.49133086580e+001, +6.19715491780e-002, +6.28123571909e+000
+6.02150000000e+001, +2.42625511948e+001, +7.49868469750e+001, +6.19396800266e-002, +6.28499017863e+000
+6.05910000000e+001, +2.43800214233e+001, +7.50476727913e+001, +6.18709145650e-002, +6.29041756029e+000
+6.09700000000e+001, +2.44796653127e+001, +7.51445938084e+001, +6.17654175671e-002, +6.27611070198e+000
+6.13510000000e+001, +2.46034252617e+001, +7.52471253596e+001, +6.17213515052e-002, +6.26527371933e+000
+6.17340000000e+001, +2.47265210760e+001, +7.53360841578e+001, +6.16704479909e-002, +6.25948719245e+000
+6.21190000000e+001, +2.48573795335e+001, +7.53515533684e+001, +6.16169300589e-002, +6.28612100557e+000
+6.25070000000e+001, +2.49892321905e+001, +7.54459257514e+001, +6.15856844250e-002, +6.27963423511e+000
+6.28980000000e+001, +2.50966165183e+001, +7.55514469831e+001, +6.14951302194e-002, +6.26187146490e+000
+6.32910000000e+001, +2.52043225953e+001, +7.56738485072e+001, +6.14092023330e-002, +6.23658970572e+000
+6.36860000000e+001, +2.53423009814e+001, +7.57367162113e+001, +6.13795747449e-002, +6.24378539510e+000
+6.40840000000e+001, +2.54622808922e+001, +7.57718051193e+001, +6.12966899105e-002, +6.25823178601e+000
+6.44840000000e+001, +2.55882548975e+001, +7.58602405087e+001, +6.12417297203e-002, +6.25090310767e+000
+6.48870000000e+001, +2.57182528391e+001, +7.59641988823e+001, +6.11984280226e-002, +6.23739989845e+000
+6.52920000000e+001, +2.58226099922e+001, +7.59850634180e+001, +6.10711601543e-002, +6.25358634585e+000
+6.57000000000e+001, +2.59718850179e+001, +7.61069415324e+001, +6.10750251948e-002, +6.23612063260e+000
+6.61110000000e+001, +2.60829806077e+001, +7.61647223022e+001, +6.09701328204e-002, +6.23725839958e+000
+6.65240000000e+001, +2.62106258361e+001, +7.61902263279e+001, +6.08948056564e-002, +6.25645313488e+000
+6.69390000000e+001, +2.63286389409e+001, +7.62808611489e+001, +6.08133171303e-002, +6.24417018222e+000
+6.73570000000e+001, +2.64704849224e+001, +7.63590964286e+001, +6.07817231189e-002, +6.24269164157e+000
+6.77780000000e+001, +2.65813431574e+001, +7.64437795579e+001, +6.06788429457e-002, +6.23065013315e+000
+6.82010000000e+001, +2.67333454492e+001, +7.64861939025e+001, +6.06581384531e-002, +6.24703910568e+000
+6.86270000000e+001, +2.68524059541e+001, +7.65868256111e+001, +6.05755425050e-002, +6.22899487517e+000
+6.90560000000e+001, +2.69723863899e+001, +7.67125174399e+001, +6.04996936275e-002, +6.19925562855e+000
+6.94870000000e+001, +2.71148073876e+001, +7.67184542925e+001, +6.04433891775e-002, +6.22925486997e+000
+6.99210000000e+001, +2.72473636300e+001, +7.67991188403e+001, +6.03818724061e-002, +6.22236716184e+000
+7.03580000000e+001, +2.73842650490e+001, +7.69152603279e+001, +6.03368839682e-002, +6.19957545912e+000
+7.07980000000e+001, +2.75210850440e+001, +7.69448096479e+001, +6.02687015359e-002, +6.21672455494e+000
+7.12400000000e+001, +2.76619898453e+001, +7.69996905319e+001, +6.02147696999e-002, +6.22273936046e+000
+7.16850000000e+001, +2.77792640935e+001, +7.71063995283e+001, +6.01204076715e-002, +6.19869945759e+000
+7.21330000000e+001, +2.79080849700e+001, +7.72223722566e+001, +6.00517687430e-002, +6.17236737224e+000
